"ID","richness","longitude","latitude","Short.wave","Wind.speed","Soil.depth","Soil.total.nitrogen","Soil.pH","Soil.CEC","Elevation","Slope","sinAspect","cosAspect","Distance.to.artificial.land","Distance.to.water","Elevation Division","richness Division","area Division"
1,24.65339259,146.8275723,-24.69753614,258.43726,6.2396,0.97,0.1,5.44,7,581,0.23989,0.61242,0.79053,254.56827,139.90353,3,2,2
2,24.65339259,146.8212847,-24.76024902,258.21368,6.24229,1.01,0.1,5.39,7,561,0.19228,-0.4371,-0.89941,245.56873,148.66069,3,2,2
3,18.29122676,146.6971058,-24.87870449,258.03989,6.3059,0.88,0.1,5.47,8,523,0.24113,-0.48188,-0.87624,187.00267,128.70509,3,1,2
4,22.26758041,146.8104515,-24.80100589,257.73514,6.28534,1.12,0.11,5.67,13,553,0.16433,0.94676,-0.32193,237.59209,159.73102,3,2,2
5,26.24393405,146.8767765,-24.82229751,257.73514,6.28534,1.08,0.1,5.22,6,585,0.19083,-0.99612,-0.08804,264.18555,140.06427,3,2,2
6,22.26758041,146.736832,-24.98729764,257.67194,6.34148,0.99,0.12,5.99,17,580,0.24732,-0.77062,-0.6373,208.69116,108.16654,3,2,2
7,55.33985905,145.6093847,-25.82597727,257.50104,6.26801,1.19,0.06,5.2,6,340,0.0593,0.42539,-0.90501,362.37274,40.80441,3,3,2
8,47.4341649,145.6097254,-25.82584511,257.50104,6.26801,1.19,0.06,5.18,6,340,0.0593,0.42539,-0.90501,362.37274,40.80441,3,3,2
9,56.92099788,145.6099261,-25.82573869,257.50104,6.26801,1.19,0.06,5.18,6,340,0.0593,0.42539,-0.90501,362.37274,40.80441,3,3,2
10,53.75872022,145.6104182,-25.82546351,257.50104,6.26801,1.19,0.06,5.17,8,340,0.0593,0.42539,-0.90501,362.37274,40.80441,3,3,2
11,37.94733192,145.6113922,-25.78812229,257.50104,6.26801,1.12,0.06,5.26,7,344,0.0593,-0.36795,-0.92985,372.66205,25.4951,3,3,2
12,44.27188724,145.6118718,-25.78804561,257.50104,6.26801,1.12,0.06,5.26,7,344,0.0593,-0.36795,-0.92985,372.66205,25.4951,3,3,2
13,37.94733192,145.6105052,-25.78722,257.50104,6.26801,1.08,0.06,5.23,7,344,0.0593,-0.36795,-0.92985,374.0762,25.05993,3,3,2
14,42.69074841,145.6110984,-25.78766806,257.50104,6.26801,1.08,0.06,5.23,7,344,0.0593,-0.36795,-0.92985,372.66205,25.4951,3,3,2
15,31.6227766,145.4879101,-25.79630727,257.35745,6.29004,1.12,0.06,5.27,9,359,0.06545,0.10108,0.99488,410.27429,68.54196,3,3,2
16,30.04163777,145.4875061,-25.79592389,257.35745,6.29004,1.11,0.06,5.32,9,359,0.06545,0.10108,0.99488,410.27429,68.54196,3,3,2
17,17.39252713,145.488239,-25.79632875,257.35745,6.29004,1.1,0.06,5.26,7,359,0.06545,0.10108,0.99488,410.27429,68.54196,3,1,2
18,28.46049894,145.4867526,-25.77672225,257.35745,6.29004,1.1,0.06,5.23,7,359,0.06545,0.10108,0.99488,415.35165,65.80273,3,2,2
19,36.36619309,145.4884205,-25.77650486,257.35745,6.29004,1.07,0.06,5.16,5,359,0.06545,0.10108,0.99488,415.35165,65.80273,3,3,2
20,25.29822128,145.4889908,-25.79681505,257.35745,6.29004,1.05,0.06,5.24,7,339,0.06545,-0.16058,0.98702,409.49725,67.62396,3,2,2
21,26.87936011,145.4875602,-25.77673065,257.35745,6.29004,1.05,0.06,5.17,8,359,0.06545,0.10108,0.99488,415.35165,65.80273,3,2,2
22,36.36619309,145.4878085,-25.77680546,257.35745,6.29004,1.05,0.06,5.17,8,359,0.06545,0.10108,0.99488,415.35165,65.80273,3,3,2
23,49.01530373,145.7313403,-25.86612415,257.17395,6.25969,1.33,0.06,5.32,9,343,0.02578,-0.41196,0.9112,313.38315,67.41662,3,3,2
24,44.27188724,145.7314261,-25.86557415,257.17395,6.25969,1.33,0.06,5.32,9,343,0.02578,-0.41196,0.9112,313.38315,67.41662,3,3,2
25,42.69074841,145.7312887,-25.86628621,257.17395,6.25969,1.33,0.06,5.3,9,343,0.02578,-0.41196,0.9112,313.38315,67.41662,3,3,2
26,34.78505426,145.7314236,-25.86673882,257.17395,6.25969,1.33,0.06,5.3,9,343,0.02578,-0.41196,0.9112,313.38315,67.41662,3,3,2
27,47.4341649,145.6965657,-25.88672608,257.17395,6.25969,1.32,0.06,5.22,11,348,0.02578,-0.8436,0.53697,317.58621,68.94926,3,3,2
28,45.85302607,145.7212138,-25.87701404,257.17395,6.25969,1.29,0.06,5.24,6,348,0.02578,-0.8436,0.53697,313.25549,69.31811,3,3,2
29,31.6227766,145.6955262,-25.88777307,257.17395,6.25969,1.29,0.06,5.2,6,348,0.02578,-0.8436,0.53697,317.58621,68.94926,3,3,2
30,33.20391543,145.6961199,-25.88732698,257.17395,6.25969,1.29,0.06,5.2,6,348,0.02578,-0.8436,0.53697,317.58621,68.94926,3,3,2
31,33.20391543,145.6961623,-25.88710165,257.17395,6.25969,1.29,0.06,5.2,6,348,0.02578,-0.8436,0.53697,317.58621,68.94926,3,3,2
32,49.01530373,145.721861,-25.87808511,257.17395,6.25969,1.27,0.06,5.3,9,348,0.02578,-0.8436,0.53697,312.55399,69.77106,3,3,2
33,47.4341649,145.7222022,-25.87883749,257.17395,6.25969,1.26,0.06,5.32,11,348,0.02578,-0.8436,0.53697,312.55399,69.77106,3,3,2
34,58.50213671,145.7221385,-25.8782591,257.17395,6.25969,1.26,0.06,5.3,9,348,0.02578,-0.8436,0.53697,312.55399,69.77106,3,3,2
