"K_Value","lm","rf","xgbTree","gbm","knn","gam","gwr","svmRadial","cubist"
3,17.1554831638772,15.4627500980203,16.2115530971186,16.1822434201895,16.068967462815,16.4869155126174,15.7656237694548,16.376476198267,15.5608550781867
5,16.0595909613042,14.2938271375735,15.0093913025033,14.9887639859847,14.7908739947589,15.342805130248,14.4062448368446,15.15384826006,14.3960705905009
7,15.447197466585,13.5780499432525,14.3190173051235,14.3177802173887,14.0588492289421,14.7141241464779,13.6298071824383,14.4313640549681,13.652627173314
9,15.0799212990656,13.167551820114,13.9248477855199,13.9312615157124,13.7007771711071,14.3233727634848,13.2071667465021,14.0502169161358,13.2024947441272
11,14.8652311376985,12.9597653219465,13.6825699728383,13.6927920577534,13.417889084109,14.0909770451122,13.0259017032154,13.8334169429262,12.9807583982575
13,14.7246594674898,12.7281084756422,13.4845449854985,13.4987990495356,13.2440335345166,13.925259006405,12.7891673087376,13.6574136685131,12.7824630125012
15,14.5795140280123,12.5515756475923,13.3190351136495,13.3345446528658,13.0712844806417,13.7794520857719,12.5972368407312,13.509968821668,12.6037967257438
17,14.4827441503285,12.4409577354102,13.2232658926346,13.228936008059,12.9890916546447,13.7016313418356,12.4855223312959,13.4271575648923,12.5042863094397
19,14.4273937729506,12.374780391914,13.1586160618531,13.1679390108954,12.8969604783241,13.6223613515313,12.4152606573014,13.3483666727134,12.4329946608932
21,14.3793303026876,12.2751846110567,13.0870639475683,13.0973523838607,12.8141490553823,13.5515231955886,12.3312239922296,13.285904951414,12.3428893479388
23,14.2971927156133,12.1911982024565,13.0194315951089,13.0309324598435,12.7255693106588,13.4733788784225,12.2285211332439,13.2147027718224,12.2617812305591
25,14.2249304642747,12.129806317179,12.9514757514569,12.9604313639323,12.6592127666901,13.3925063712229,12.1468626388128,13.1314454461331,12.1990029087093
27,14.1639773872368,12.0746614036523,12.8956284200744,12.9064097850481,12.6092887951757,13.3299091890279,12.0892590813856,13.0638754475507,12.1457601748815
