"ID","longitude","latitude","x_proj","y_proj","richness_true","residuals","local_error_variance","abs_residual"
3,146.6971058,-24.87870449,1465047.88281009,-2773343.18108635,18.29122676,-8.080850820807,53.2018476480175,8.080850820807
4,146.8104515,-24.80100589,1477302.94370444,-2766001.20668016,22.26758041,-7.14311685800772,53.2018476480175,7.14311685800772
6,146.736832,-24.98729764,1467589.91010609,-2785886.02808406,22.26758041,-6.12985301383809,53.2018476480175,6.12985301383809
7,145.6093847,-25.82597727,1345758.92991897,-2866900.55520014,55.33985905,15.8667439604916,47.3993002533916,15.8667439604916
8,145.6097254,-25.82584511,1345794.06790507,-2866889.41044684,47.4341649,7.69203618161693,47.3993002533916,7.69203618161693
9,145.6099261,-25.82573869,1345815.10763169,-2866879.66057349,56.92099788,17.1788691616169,47.3993002533916,17.1788691616169
10,145.6104182,-25.82546351,1345866.86531649,-2866854.16654222,53.75872022,13.6291697023933,47.3993002533916,13.6291697023933
11,145.6113922,-25.78812229,1346408.02343684,-2862701.54607349,37.94733192,-0.890571476563046,47.3993002533916,0.890571476563046
12,145.6118718,-25.78804561,1346456.19898571,-2862698.05227301,44.27188724,5.43398384343695,47.3993002533916,5.43398384343695
14,145.6110984,-25.78766806,1346384.48692833,-2862647.81177248,42.69074841,4.48983631007226,47.3993002533916,4.48983631007226
15,145.4879101,-25.79630727,1334142.37492253,-2862318.62428671,31.6227766,4.57935488678664,47.3993002533916,4.57935488678664
19,145.4884205,-25.77650486,1334426.64346034,-2860116.1389677,36.36619309,11.2181435452159,47.3993002533916,11.2181435452159
22,145.4878085,-25.77680546,1334362.77115697,-2860143.2610803,36.36619309,10.4768679090576,47.3993002533916,10.4768679090576
23,145.7313403,-25.86612415,1357289.32449631,-2872666.26595861,49.01530373,9.03307444898275,68.5550116125059,9.03307444898275
24,145.7314261,-25.86557415,1357304.38813902,-2872605.86633935,44.27188724,4.28965795898274,68.5550116125059,4.28965795898274
28,145.7212138,-25.87701404,1356161.32706719,-2873772.68398757,45.85302607,5.3137007321022,68.5550116125059,5.3137007321022
29,145.6955262,-25.88777307,1353503.11579358,-2874699.66670949,31.6227766,-4.65123204475805,68.5550116125059,4.65123204475805
33,145.7222022,-25.87883749,1356236.72373134,-2873986.44832378,47.4341649,-2.10884056596198,68.5550116125059,2.10884056596198
37,145.7713495,-25.8794787,1361067.67776286,-2874580.59658474,45.85302607,1.41185262799904,68.5550116125059,1.41185262799904
38,145.7501479,-25.87311299,1359057.02803078,-2873645.28528261,45.85302607,1.9146723265806,68.5550116125059,1.9146723265806
39,145.7706968,-25.87986141,1360998.80297084,-2874616.30456608,37.94733192,-7.55500603922058,68.5550116125059,7.55500603922058
40,145.7502029,-25.87262592,1359068.30961484,-2873591.57495279,49.01530373,9.67431629005195,68.5550116125059,9.67431629005195
43,145.592671,-25.82634901,1344108.02069268,-2866766.04697216,44.27188724,1.80518530506372,47.3993002533916,1.80518530506372
46,145.5888063,-25.84351049,1343523.0266052,-2868638.66046845,30.04163777,-13.265981269612,47.3993002533916,13.265981269612
47,145.5888682,-25.84333955,1343531.15830409,-2868620.25388814,47.4341649,4.12654586038797,47.3993002533916,4.12654586038797
48,145.5891221,-25.84296283,1343560.65095047,-2868580.92475904,56.92099788,13.613378840388,47.3993002533916,13.613378840388
50,145.5934298,-25.8271328,1344173.43835107,-2866861.4114618,53.75872022,10.069866197748,47.3993002533916,10.069866197748
53,145.5035649,-25.79175652,1335738.9140673,-2861974.83114244,26.87936011,1.88401043745934,47.3993002533916,1.88401043745934
62,145.7217006,-25.91613004,1355739.09689496,-2878138.41523035,34.78505426,-3.54173740794295,68.5550116125059,3.54173740794295
63,145.7217603,-25.91614863,1355744.74926035,-2878141.1211602,39.52847075,1.20167908205704,68.5550116125059,1.20167908205704
70,145.7515739,-26.04641922,1357109.76488109,-2892980.44024163,22.13594362,-8.6088315185779,68.5550116125059,8.6088315185779
73,145.7498314,-26.0005305,1357491.19586838,-2887846.12069002,18.97366596,-14.0570141061871,68.5550116125059,14.0570141061871
74,147.3970999,-24.93343767,1533757.48253788,-2787648.74873457,28.37224827,1.67913158423588,59.9229808418748,1.67913158423588
78,146.574467,-27.04472885,1425230.82878546,-3013222.32292708,60.08327554,25.7098389789722,172.661476113361,25.7098389789722
80,146.5736508,-27.04459095,1425153.12026803,-3013197.84915642,49.01530373,16.2878819506142,172.661476113361,16.2878819506142
84,146.5868951,-27.04586734,1426426.33348774,-3013487.90855308,23.71708245,-13.7533688572916,172.661476113361,13.7533688572916
85,146.5870303,-27.04747478,1426418.9532549,-3013668.56082544,42.69074841,4.83530333677611,172.661476113361,4.83530333677611
86,146.5445945,-27.11882984,1421377.95123026,-3021148.04674534,53.75872022,14.366625469135,172.661476113361,14.366625469135
91,146.6784487,-26.92543142,1436888.6874417,-3001092.53325301,47.4341649,7.75917372455797,172.661476113361,7.75917372455797
93,146.6788038,-26.92455645,1436934.54759745,-3000999.02637877,50.59644256,11.7544538543408,172.661476113361,11.7544538543408
97,146.6005696,-27.04816391,1427728.33607025,-3013896.59954636,50.59644256,2.46008627559569,172.661476113361,2.46008627559569
99,146.6739958,-27.03769061,1435011.49960848,-3013552.11000332,36.36619309,-5.74212004315802,172.661476113361,5.74212004315802
100,146.6609736,-27.03629656,1433761.52596132,-3013250.55272136,41.10960958,0.621176617354315,172.661476113361,0.621176617354315
104,146.6572394,-27.01429424,1433680.4899659,-3010756.74783959,47.4341649,7.52324282534696,172.661476113361,7.52324282534696
106,146.6564833,-27.01432851,1433606.41763476,-3010752.08205719,41.10960958,1.06517206760064,172.661476113361,1.06517206760064
110,146.6616036,-27.03466393,1433843.83751982,-3013075.68581104,33.20391543,-8.12163187845702,172.661476113361,8.12163187845702
111,146.6739174,-27.03691398,1435013.85086358,-3013464.68405614,42.69074841,-0.679920774546716,172.661476113361,0.679920774546716
115,146.6936516,-27.03573948,1436950.33594149,-3013555.61601243,36.36619309,0.780233117721941,172.661476113361,0.780233117721941
118,146.6330537,-27.73571276,1422075.67554096,-3090885.90492024,26.87936011,7.38027181953754,293.52956974965,7.38027181953754
126,146.7279996,-27.79239911,1430530.45648332,-3098263.43778031,22.13594362,2.35130585754165,293.52956974965,2.35130585754165
128,146.7278068,-27.79237165,1430512.16720739,-3098258.21873093,55.33985905,34.8717112304333,293.52956974965,34.8717112304333
129,146.7271919,-27.78658382,1430527.39211632,-3097606.32381038,37.94733192,15.2301090410233,293.52956974965,15.2301090410233
130,146.7268932,-27.79236082,1430423.96237974,-3098246.78232529,44.27188724,25.0529770318697,293.52956974965,25.0529770318697
133,146.6598006,-27.72835146,1424758.1523027,-3090363.49099766,37.94733192,-5.17762258120432,293.52956974965,5.17762258120432
138,146.6965788,-27.78254791,1427618.89867618,-3096814.10851661,58.50213671,11.3124809242086,293.52956974965,11.3124809242086
146,146.6616979,-27.72831097,1424942.25725289,-3090380.13886908,11.06797181,-27.8732418012248,293.52956974965,27.8732418012248
148,146.6187097,-27.80788456,1419763.31850902,-3098770.10286719,31.6227766,1.08094741979253,293.52956974965,1.08094741979253
155,146.6617462,-27.8111382,1423882.86874727,-3099611.6880563,18.97366596,-10.2553198429166,293.52956974965,10.2553198429166
157,144.7241947,-29.06894807,1222356.86531774,-3219838.53625311,11,-14.7200751085595,61.3718252049605,14.7200751085595
158,144.7243053,-29.06858907,1222371.45880931,-3219799.52818751,17,-8.89210985032613,61.3718252049605,8.89210985032613
160,146.5727924,-28.12994775,1411210.77185288,-3134156.99822205,28.46049894,-11.771853794057,308.141547355486,11.771853794057
168,146.587458,-28.11331082,1412837.44592513,-3132464.80570078,30.04163777,-17.9107625733851,308.141547355486,17.9107625733851
174,146.6138437,-28.0802314,1415805.40872425,-3129070.07188356,39.52847075,3.348265156423,308.141547355486,3.348265156423
175,146.6543998,-28.07170062,1419826.84252351,-3128569.3946885,17.39252713,-29.7992997906977,308.141547355486,29.7992997906977
